Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
TMEM194B	ENST00000409150.3	transmembrane protein 194B 	271	2	0	1	1	0	hsa-miR-338-5p	-0.09	-0.10	N/A
KCNN2	ENST00000512097.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2 	5	1	0	0	1	0	hsa-miR-338-5p	-0.09	-0.09	N/A
RFX7	ENST00000423270.1	regulatory factor X, 7 	1049	1	0	0	1	3	hsa-miR-338-5p	-0.09	-0.09	N/A
COL8A1	ENST00000261037.3	collagen, type VIII, alpha 1 	601	1	0	1	0	1	hsa-miR-338-5p	-0.09	-0.09	N/A
C9orf78	ENST00000372447.3	chromosome 9 open reading frame 78 	1483	1	0	1	0	0	hsa-miR-338-5p	-0.09	-0.09	N/A
CCDC50	ENST00000392455.3	coiled-coil domain containing 50 	961	3	0	1	2	1	hsa-miR-338-5p	-0.09	-0.11	N/A
SLFN12	ENST00000394562.1	schlafen family member 12 	255	3	0	2	1	3	hsa-miR-338-5p	-0.09	-0.15	N/A
ADO	ENST00000373783.1	2-aminoethanethiol (cysteamine) dioxygenase 	686	2	1	0	1	2	hsa-miR-338-5p	-0.09	-0.10	N/A
UNC13C	ENST00000545554.1	unc-13 homolog C (C. elegans) 	14	3	1	2	0	1	hsa-miR-338-5p	-0.09	-0.09	N/A
DKK1	ENST00000373970.3	dickkopf WNT signaling pathway inhibitor 1 	2384	1	0	0	1	0	hsa-miR-338-5p	-0.09	-0.09	N/A
ULK1	ENST00000321867.4	unc-51 like autophagy activating kinase 1 	3083	1	1	0	0	0	hsa-miR-338-5p	-0.09	-0.09	N/A
TMEM217	ENST00000336655.2	transmembrane protein 217 	44	1	0	0	1	0	hsa-miR-338-5p	-0.09	-0.09	N/A
WARS	ENST00000392882.2	tryptophanyl-tRNA synthetase 	1916	1	0	0	1	0	hsa-miR-338-5p	-0.09	-0.09	N/A
WDR60	ENST00000407559.3	WD repeat domain 60 	49	1	0	1	0	0	hsa-miR-338-5p	-0.09	-0.09	N/A
ZNF286B	ENST00000285274.5	zinc finger protein 286B 	5	1	0	1	0	1	hsa-miR-338-5p	-0.09	-0.09	N/A
BRD1	ENST00000457780.2	bromodomain containing 1 	124	2	0	1	1	0	hsa-miR-338-5p	-0.09	-0.09	N/A
ABTB2	ENST00000435224.2	ankyrin repeat and BTB (POZ) domain containing 2 	5	1	1	0	0	0	hsa-miR-338-5p	-0.09	-0.09	N/A
TMCO3	ENST00000434316.2	transmembrane and coiled-coil domains 3 	3482	1	0	0	1	1	hsa-miR-338-5p	-0.09	-0.09	N/A
GABRG1	ENST00000295452.4	gamma-aminobutyric acid (GABA) A receptor, gamma 1 	5	3	2	0	1	1	hsa-miR-338-5p	-0.09	-0.09	N/A
LYRM4	ENST00000330636.4	LYR motif containing 4 	796	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.16	N/A
PPIP5K2	ENST00000321521.9	diphosphoinositol pentakisphosphate kinase 2 	203	4	0	2	2	4	hsa-miR-338-5p	-0.08	-0.28	N/A
BRI3BP	ENST00000341446.8	BRI3 binding protein 	820	3	0	1	2	0	hsa-miR-338-5p	-0.08	-0.14	N/A
ABHD17B	ENST00000333421.6	abhydrolase domain containing 17B 	104	1	0	0	1	2	hsa-miR-338-5p	-0.08	-0.09	N/A
LRRC34	ENST00000446859.1	leucine rich repeat containing 34 	48	1	1	0	0	3	hsa-miR-338-5p	-0.08	-0.15	N/A
CCT3	ENST00000295688.3	chaperonin containing TCP1, subunit 3 (gamma) 	1885	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.09	N/A
TCP11L1	ENST00000334274.4	t-complex 11, testis-specific-like 1 	140	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.09	N/A
CDC42BPG	ENST00000342711.5	CDC42 binding protein kinase gamma (DMPK-like) 	68	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.09	N/A
SYNDIG1L	ENST00000331628.3	synapse differentiation inducing 1-like 	7	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
ATG10	ENST00000282185.3	autophagy related 10 	25	1	1	0	0	2	hsa-miR-338-5p	-0.08	-0.15	N/A
AHI1	ENST00000417892.2	Abelson helper integration site 1 	72	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
GOLGA8K	ENST00000512626.2	golgin A8 family, member K 	0	2	0	0	2	0	hsa-miR-338-5p	-0.08	-0.08	N/A
SEPSECS	ENST00000302922.3	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase 	279	2	0	2	0	0	hsa-miR-338-5p	-0.08	-0.12	N/A
SPRY1	ENST00000394339.2	sprouty homolog 1, antagonist of FGF signaling (Drosophila) 	150	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.09	N/A
FRMD3	ENST00000304195.3	FERM domain containing 3 	14	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.10	N/A
PEX10	ENST00000288774.3	peroxisomal biogenesis factor 10 	347	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.09	N/A
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	3	0	2	1	5	hsa-miR-338-5p	-0.08	-0.17	N/A
RAB4A	ENST00000366690.4	RAB4A, member RAS oncogene family 	850	2	1	0	1	1	hsa-miR-338-5p	-0.08	-0.33	N/A
SMAD4	ENST00000398417.2	SMAD family member 4 	403	2	0	1	1	1	hsa-miR-338-5p	-0.08	-0.09	N/A
ZNF726	ENST00000525354.2	zinc finger protein 726 	16	2	0	2	0	6	hsa-miR-338-5p	-0.08	-0.16	N/A
DLX6	ENST00000518156.2	distal-less homeobox 6 	76	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.10	N/A
ATF1	ENST00000262053.3	activating transcription factor 1 	1599	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.10	N/A
TMCC1	ENST00000432054.2	transmembrane and coiled-coil domain family 1 	97	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.10	N/A
TRPM7	ENST00000560955.1	transient receptor potential cation channel, subfamily M, member 7 	281	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.09	N/A
AGPAT9	ENST00000395226.2	1-acylglycerol-3-phosphate O-acyltransferase 9 	89	1	0	0	1	2	hsa-miR-338-5p	-0.08	-0.08	N/A
JAM3	ENST00000299106.4	junctional adhesion molecule 3 	85	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
NEUROD4	ENST00000242994.3	neuronal differentiation 4 	5	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CASC4	ENST00000299957.6	cancer susceptibility candidate 4 	5	2	1	0	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
ZCWPW2	ENST00000383768.2	zinc finger, CW type with PWWP domain 2 	10	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.17	N/A
SMOC1	ENST00000381280.4	SPARC related modular calcium binding 1 	2743	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
FOPNL	ENST00000573396.1	FGFR1OP N-terminal like 	29	1	0	0	1	2	hsa-miR-338-5p	-0.08	-0.09	N/A
NLRP10	ENST00000328600.2	NLR family, pyrin domain containing 10 	21	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
HMX3	ENST00000357878.5	H6 family homeobox 3 	9	3	1	1	1	0	hsa-miR-338-5p	-0.08	-0.20	N/A
YY2	ENST00000429584.2	YY2 transcription factor 	5	2	0	2	0	2	hsa-miR-338-5p	-0.08	-0.10	N/A
PLEKHA3	ENST00000234453.5	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3 	767	7	1	2	4	8	hsa-miR-338-5p	-0.08	-0.20	N/A
AC021218.2	ENST00000377722.2	Uncharacterized protein  	10	2	0	2	0	0	hsa-miR-338-5p	-0.08	-0.16	N/A
SLC25A53	ENST00000357421.4	solute carrier family 25, member 53 	15	5	2	3	0	2	hsa-miR-338-5p	-0.08	-0.17	N/A
TADA2B	ENST00000310074.7	transcriptional adaptor 2B 	38	1	1	0	0	2	hsa-miR-338-5p	-0.08	-0.16	N/A
DUSP18	ENST00000403268.1	dual specificity phosphatase 18 	491	2	0	0	2	5	hsa-miR-338-5p	-0.08	-0.09	N/A
SEPT14	ENST00000388975.3	septin 14 	5	2	0	1	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
NYAP2	ENST00000272907.6	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 	5	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
RPRD1A	ENST00000399022.4	regulation of nuclear pre-mRNA domain containing 1A 	333	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
COG2	ENST00000366669.4	component of oligomeric golgi complex 2 	276	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
UBQLN1	ENST00000376395.4	ubiquilin 1 	471	2	0	1	1	1	hsa-miR-338-5p	-0.08	-0.09	N/A
MUM1L1	ENST00000357175.2	melanoma associated antigen (mutated) 1-like 1 	50	2	0	1	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
CCR4	ENST00000330953.5	chemokine (C-C motif) receptor 4 	5	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.09	N/A
PPP1R12A	ENST00000261207.5	protein phosphatase 1, regulatory subunit 12A 	276	3	0	1	2	2	hsa-miR-338-5p	-0.08	-0.09	N/A
TNPO1	ENST00000337273.5	transportin 1 	2041	4	3	1	0	3	hsa-miR-338-5p	-0.08	-0.11	N/A
KAL1	ENST00000262648.3	Kallmann syndrome 1 sequence 	11	4	2	1	1	1	hsa-miR-338-5p	-0.08	-0.14	N/A
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	4	1	2	1	5	hsa-miR-338-5p	-0.08	-0.08	N/A
VAMP7	ENST00000286448.6	vesicle-associated membrane protein 7 	5	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
AMMECR1	ENST00000262844.5	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 	5	3	2	1	0	3	hsa-miR-338-5p	-0.08	-0.08	N/A
CHURC1	ENST00000607599.1	churchill domain containing 1 	869	1	0	1	0	2	hsa-miR-338-5p	-0.08	-0.08	N/A
RP11-1026M7.2	ENST00000502515.1	Uncharacterized protein  	5	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CLRN3	ENST00000368671.3	clarin 3 	17	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
COLEC11	ENST00000236693.7	collectin sub-family member 11 	41	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
GFRA2	ENST00000524240.1	GDNF family receptor alpha 2 	13	2	0	1	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	4	1	2	1	3	hsa-miR-338-5p	-0.08	-0.08	N/A
NEK2	ENST00000366999.4	NIMA-related kinase 2 	72	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	4	1	2	1	4	hsa-miR-338-5p	-0.08	-0.08	N/A
NR4A3	ENST00000330847.1	nuclear receptor subfamily 4, group A, member 3 	244	2	1	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
NLGN2	ENST00000302926.2	neuroligin 2 	20	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.16	N/A
MKL2	ENST00000318282.5	MKL/myocardin-like 2 	992	4	1	2	1	2	hsa-miR-338-5p	-0.08	-0.08	N/A
PTP4A1	ENST00000370651.3	protein tyrosine phosphatase type IVA, member 1 	5740	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
CCNYL1	ENST00000295414.3	cyclin Y-like 1 	111	2	0	2	0	0	hsa-miR-338-5p	-0.08	-0.10	N/A
SLC39A14	ENST00000381237.1	solute carrier family 39 (zinc transporter), member 14 	2413	1	0	1	0	2	hsa-miR-338-5p	-0.08	-0.08	N/A
JRKL	ENST00000458427.1	jerky homolog-like (mouse) 	116	1	0	1	0	2	hsa-miR-338-5p	-0.08	-0.09	N/A
C9orf41	ENST00000376834.3	chromosome 9 open reading frame 41 	248	2	1	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	5	2	0	3	5	hsa-miR-338-5p	-0.08	-0.09	N/A
GRASP	ENST00000552049.1	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein 	51	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
KLF13	ENST00000307145.3	Kruppel-like factor 13 	5	1	1	0	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
GAD1	ENST00000358196.3	glutamate decarboxylase 1 (brain, 67kDa) 	16	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
ANKS1B	ENST00000546960.1	ankyrin repeat and sterile alpha motif domain containing 1B 	21	2	0	2	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
FAM180A	ENST00000338588.3	family with sequence similarity 180, member A 	51	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
TAS2R14	ENST00000537503.1	taste receptor, type 2, member 14 	22	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.10	N/A
BICD1	ENST00000548411.1	bicaudal D homolog 1 (Drosophila) 	205	3	1	1	1	4	hsa-miR-338-5p	-0.08	-0.09	N/A
AEBP2	ENST00000266508.9	AE binding protein 2 	1228	2	1	0	1	2	hsa-miR-338-5p	-0.08	-0.08	N/A
PRKACB	ENST00000370689.2	protein kinase, cAMP-dependent, catalytic, beta 	344	4	0	2	2	1	hsa-miR-338-5p	-0.08	-0.13	N/A
FAM134B	ENST00000399793.2	family with sequence similarity 134, member B 	102	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
KLK3	ENST00000326003.2	kallikrein-related peptidase 3 	5	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CHSY1	ENST00000254190.3	chondroitin sulfate synthase 1 	200	2	0	0	2	0	hsa-miR-338-5p	-0.08	-0.09	N/A
FREM3	ENST00000329798.5	FRAS1 related extracellular matrix 3 	5	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
AP3B2	ENST00000542200.1	adaptor-related protein complex 3, beta 2 subunit 	15	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
PRNT	ENST00000418528.1	prion protein (testis specific) 	5	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
NAPEPLD	ENST00000417955.1	N-acyl phosphatidylethanolamine phospholipase D 	13	1	0	1	0	2	hsa-miR-338-5p	-0.08	-0.08	N/A
SLC39A8	ENST00000394833.2	solute carrier family 39 (zinc transporter), member 8 	228	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
SCAI	ENST00000336505.6	suppressor of cancer cell invasion 	74	6	0	2	4	2	hsa-miR-338-5p	-0.08	-0.15	N/A
TTLL11	ENST00000373776.3	tubulin tyrosine ligase-like family, member 11 	164	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CDS1	ENST00000295887.5	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1 	720	2	0	0	2	0	hsa-miR-338-5p	-0.08	-0.09	N/A
FBXO48	ENST00000377957.3	F-box protein 48 	13	3	0	1	2	1	hsa-miR-338-5p	-0.08	-0.11	N/A
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	0	0	1	2	hsa-miR-338-5p	-0.08	-0.08	N/A
DGKH	ENST00000261491.5	diacylglycerol kinase, eta 	46	6	2	2	2	5	hsa-miR-338-5p	-0.08	-0.12	N/A
GNG2	ENST00000556752.1	guanine nucleotide binding protein (G protein), gamma 2 	199	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.09	N/A
MB21D1	ENST00000370315.3	Mab-21 domain containing 1 	241	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
DCDC2	ENST00000378450.3	doublecortin domain containing 2 	11	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
GCA	ENST00000437150.2	grancalcin, EF-hand calcium binding protein 	177	2	1	1	0	1	hsa-miR-338-5p	-0.08	-0.33	N/A
MROH2A	ENST00000389758.3	maestro heat-like repeat family member 2A 	13	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CSF3R	ENST00000373106.1	colony stimulating factor 3 receptor (granulocyte) 	49	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
NDEL1	ENST00000402554.3	nudE neurodevelopment protein 1-like 1 	396	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
TRIM11	ENST00000493030.2	tripartite motif containing 11 	727	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
ZSWIM5	ENST00000359600.5	zinc finger, SWIM-type containing 5 	31	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
KLF5	ENST00000377687.4	Kruppel-like factor 5 (intestinal) 	161	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
RGS7	ENST00000348120.2	regulator of G-protein signaling 7 	8	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.12	N/A
TRAPPC6B	ENST00000330149.5	trafficking protein particle complex 6B 	69	2	0	2	0	0	hsa-miR-338-5p	-0.08	-0.13	N/A
ZDHHC21	ENST00000380916.4	zinc finger, DHHC-type containing 21 	196	4	1	1	2	1	hsa-miR-338-5p	-0.08	-0.11	N/A
PTCH1	ENST00000430669.2	patched 1 	123	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	2	0	0	2	2	hsa-miR-338-5p	-0.08	-0.14	N/A
RORA	ENST00000335670.6	RAR-related orphan receptor A 	102	4	1	3	0	4	hsa-miR-338-5p	-0.08	-0.09	N/A
NRG4	ENST00000394907.3	neuregulin 4 	73	2	0	0	2	1	hsa-miR-338-5p	-0.08	-0.16	N/A
ESYT3	ENST00000389567.4	extended synaptotagmin-like protein 3 	17	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.13	N/A
ZNF43	ENST00000594012.1	zinc finger protein 43 	42	2	0	0	2	0	hsa-miR-338-5p	-0.08	-0.10	N/A
TUBB1	ENST00000217133.1	tubulin, beta 1 class VI 	5	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
CCM2	ENST00000541586.1	cerebral cavernous malformation 2 	1046	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
F9	ENST00000218099.2	coagulation factor IX 	5	1	1	0	0	0	hsa-miR-338-5p	-0.08	-0.08	N/A
HTR2A	ENST00000378688.4	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	5	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
DRD1	ENST00000393752.2	dopamine receptor D1 	7	1	0	0	1	1	hsa-miR-338-5p	-0.08	-0.08	N/A
SPESP1	ENST00000310673.3	sperm equatorial segment protein 1 	19	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
IL24	ENST00000367093.3	interleukin 24 	10	1	0	1	0	1	hsa-miR-338-5p	-0.08	-0.08	N/A
DYNC1I1	ENST00000447467.2	dynein, cytoplasmic 1, intermediate chain 1 	25	2	0	1	1	0	hsa-miR-338-5p	-0.08	-0.08	N/A
STIM2	ENST00000467011.1	stromal interaction molecule 2 	380	1	0	1	0	3	hsa-miR-338-5p	-0.08	-0.08	N/A
CDR2	ENST00000268383.2	cerebellar degeneration-related protein 2, 62kDa 	70	1	0	0	1	0	hsa-miR-338-5p	-0.08	-0.09	N/A
SEPHS1	ENST00000545675.1	selenophosphate synthetase 1 	281	3	1	1	1	1	hsa-miR-338-5p	-0.08	-0.18	N/A
MCIDAS	ENST00000513312.1	multiciliate differentiation and DNA synthesis associated cell cycle protein 	45	1	0	1	0	0	hsa-miR-338-5p	-0.08	-0.09	N/A
SCAF11	ENST00000395453.2	SR-related CTD-associated factor 11 	419	1	0	1	0	2	hsa-miR-338-5p	-0.08	-0.23	N/A
KIAA1715	ENST00000272748.4	KIAA1715 	858	2	1	1	0	1	hsa-miR-338-5p	-0.08	-0.12	N/A
KIAA0895	ENST00000297063.6	KIAA0895 	1104	2	1	1	0	3	hsa-miR-338-5p	-0.07	-0.07	N/A
CD1D	ENST00000368171.3	CD1d molecule 	7	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
NCR1	ENST00000594765.1	natural cytotoxicity triggering receptor 1 	5	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
FRG2C	ENST00000308062.3	FSHD region gene 2 family, member C 	7	1	0	0	1	1	hsa-miR-338-5p	-0.07	-0.07	N/A
SLC17A9	ENST00000370351.4	solute carrier family 17 (vesicular nucleotide transporter), member 9 	504	1	0	1	0	1	hsa-miR-338-5p	-0.07	-0.09	N/A
LRP11	ENST00000239367.2	low density lipoprotein receptor-related protein 11 	3235	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
MET	ENST00000397752.3	met proto-oncogene 	1155	1	0	0	1	1	hsa-miR-338-5p	-0.07	-0.07	N/A
HIST2H2BE	ENST00000369155.2	histone cluster 2, H2be 	256	1	0	1	0	1	hsa-miR-338-5p	-0.07	-0.08	N/A
PLSCR4	ENST00000354952.2	phospholipid scramblase 4 	133	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.08	N/A
RAP2C	ENST00000342983.2	RAP2C, member of RAS oncogene family 	604	2	1	1	0	1	hsa-miR-338-5p	-0.07	-0.08	N/A
FRK	ENST00000606080.1	fyn-related kinase 	37	2	2	0	0	8	hsa-miR-338-5p	-0.07	-0.17	N/A
ZBTB10	ENST00000430430.1	zinc finger and BTB domain containing 10 	113	3	2	0	1	2	hsa-miR-338-5p	-0.07	-0.08	N/A
MTHFD2L	ENST00000433372.1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like 	27	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
ZMYM6	ENST00000317538.5	zinc finger, MYM-type 6 	56	1	0	1	0	2	hsa-miR-338-5p	-0.07	-0.09	N/A
MCTP2	ENST00000357742.4	multiple C2 domains, transmembrane 2 	59	2	1	1	0	1	hsa-miR-338-5p	-0.07	-0.07	N/A
TM4SF20	ENST00000304568.3	transmembrane 4 L six family member 20 	5	1	0	0	1	1	hsa-miR-338-5p	-0.07	-0.07	N/A
HS6ST2	ENST00000370836.2	heparan sulfate 6-O-sulfotransferase 2 	4566	2	0	0	2	2	hsa-miR-338-5p	-0.07	-0.07	N/A
PCK1	ENST00000319441.4	phosphoenolpyruvate carboxykinase 1 (soluble) 	5	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
CECR5	ENST00000155674.5	cat eye syndrome chromosome region, candidate 5 	1473	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
PCDHB6	ENST00000231136.1	protocadherin beta 6 	5	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
C10orf126	ENST00000375520.1	chromosome 10 open reading frame 126 	5	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
FRMD7	ENST00000370879.1	FERM domain containing 7 	5	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
ZNF461	ENST00000588268.1	zinc finger protein 461 	164	1	0	0	1	1	hsa-miR-338-5p	-0.07	-0.09	N/A
GNAS	ENST00000371075.3	GNAS complex locus 	314	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.12	N/A
ZNF34	ENST00000343459.4	zinc finger protein 34 	73	1	1	0	0	0	hsa-miR-338-5p	-0.07	-0.13	N/A
MPP7	ENST00000375732.1	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) 	50	1	1	0	0	2	hsa-miR-338-5p	-0.07	-0.10	N/A
ODF2L	ENST00000359242.3	outer dense fiber of sperm tails 2-like 	164	3	1	1	1	2	hsa-miR-338-5p	-0.07	-0.10	N/A
AAK1	ENST00000409085.4	AP2 associated kinase 1 	27	5	1	2	2	2	hsa-miR-338-5p	-0.07	-0.09	N/A
GOLGA8J	ENST00000341650.6	golgin A8 family, member J 	0	2	0	0	2	0	hsa-miR-338-5p	-0.07	-0.07	N/A
GPR111	ENST00000398742.2	G protein-coupled receptor 111 	5	2	0	1	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
TLR8	ENST00000218032.6	toll-like receptor 8 	5	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
MAGEA2B	ENST00000370293.2	melanoma antigen family A, 2B 	5	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
NOV	ENST00000259526.3	nephroblastoma overexpressed 	44	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
LRP12	ENST00000424843.2	low density lipoprotein receptor-related protein 12 	378	1	0	1	0	1	hsa-miR-338-5p	-0.07	-0.07	N/A
KY	ENST00000508956.1	kyphoscoliosis peptidase 	5	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
CPNE3	ENST00000198765.4	copine III 	756	2	1	1	0	1	hsa-miR-338-5p	-0.07	-0.07	N/A
TBX20	ENST00000408931.3	T-box 20 	0	3	1	2	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
MAGEA2	ENST00000370284.1	melanoma antigen family A, 2 	5	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
SH2D4A	ENST00000265807.3	SH2 domain containing 4A 	131	3	0	1	2	0	hsa-miR-338-5p	-0.07	-0.10	N/A
DMRT3	ENST00000190165.2	doublesex and mab-3 related transcription factor 3 	21	1	0	0	1	1	hsa-miR-338-5p	-0.07	-0.12	N/A
ZDHHC20	ENST00000320220.9	zinc finger, DHHC-type containing 20 	1486	1	1	0	0	1	hsa-miR-338-5p	-0.07	-0.07	N/A
AMOTL1	ENST00000317837.9	angiomotin like 1 	712	1	1	0	0	2	hsa-miR-338-5p	-0.07	-0.11	N/A
USP8	ENST00000396444.3	ubiquitin specific peptidase 8 	109	1	1	0	0	1	hsa-miR-338-5p	-0.07	-0.08	N/A
TRMT1L	ENST00000367504.3	tRNA methyltransferase 1 homolog (S. cerevisiae)-like 	410	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
ABCG1	ENST00000398457.2	ATP-binding cassette, sub-family G (WHITE), member 1 	64	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.08	N/A
ZCCHC24	ENST00000372336.3	zinc finger, CCHC domain containing 24 	359	2	0	2	0	0	hsa-miR-338-5p	-0.07	-0.07	N/A
ANKRD50	ENST00000504087.1	ankyrin repeat domain 50 	152	2	0	1	1	2	hsa-miR-338-5p	-0.07	-0.13	N/A
CDCA8	ENST00000373055.1	cell division cycle associated 8 	1689	1	0	1	0	1	hsa-miR-338-5p	-0.07	-0.11	N/A
CCL20	ENST00000409189.3	chemokine (C-C motif) ligand 20 	16	1	0	1	0	0	hsa-miR-338-5p	-0.07	-0.24	N/A
NDUFA4	ENST00000339600.5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa 	143	1	0	0	1	0	hsa-miR-338-5p	-0.07	-0.07	N/A
ANKRD12	ENST00000262126.4	ankyrin repeat domain 12 	11	4	1	2	1	3	hsa-miR-338-5p	-0.07	-0.08	N/A
