Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZBTB38	ENST00000514251.1	zinc finger and BTB domain containing 38 	1270	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.10	N/A
GNAS	ENST00000371075.3	GNAS complex locus 	314	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.15	N/A
FEZF1	ENST00000442488.2	FEZ family zinc finger 1 	47	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
TFEC	ENST00000265440.7	transcription factor EC 	5	1	1	0	0	2	rno-miR-338-5p	-0.09	-0.09	N/A
MAX	ENST00000284165.6	MYC associated factor X 	51	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
BRI3BP	ENST00000341446.8	BRI3 binding protein 	820	1	0	1	0	1	rno-miR-338-5p	-0.09	-0.11	N/A
DYNC1I1	ENST00000447467.2	dynein, cytoplasmic 1, intermediate chain 1 	25	2	0	1	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
PAX3	ENST00000350526.4	paired box 3 	7	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
UST	ENST00000367463.4	uronyl-2-sulfotransferase 	933	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.14	N/A
FGD4	ENST00000427716.2	FYVE, RhoGEF and PH domain containing 4 	38	1	0	0	1	2	rno-miR-338-5p	-0.09	-0.10	N/A
PDE4B	ENST00000371045.5	phosphodiesterase 4B, cAMP-specific 	127	3	1	2	0	2	rno-miR-338-5p	-0.09	-0.10	N/A
SEPT7	ENST00000435235.1	septin 7 	97	3	0	2	1	1	rno-miR-338-5p	-0.09	-0.11	N/A
OTUD6B	ENST00000285420.4	OTU domain containing 6B 	18	1	1	0	0	4	rno-miR-338-5p	-0.09	-0.35	N/A
RPS6KA6	ENST00000262752.2	ribosomal protein S6 kinase, 90kDa, polypeptide 6 	156	1	0	1	0	2	rno-miR-338-5p	-0.09	-0.11	N/A
ACBD5	ENST00000396271.3	acyl-CoA binding domain containing 5 	77	1	0	0	1	1	rno-miR-338-5p	-0.09	-0.16	N/A
DNMT3A	ENST00000380746.4	DNA (cytosine-5-)-methyltransferase 3 alpha 	221	2	0	2	0	0	rno-miR-338-5p	-0.09	-0.11	N/A
USP14	ENST00000261601.7	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) 	561	1	1	0	0	3	rno-miR-338-5p	-0.09	-0.20	N/A
RCN1	ENST00000054950.3	reticulocalbin 1, EF-hand calcium binding domain 	213	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
ENPP2	ENST00000259486.6	ectonucleotide pyrophosphatase/phosphodiesterase 2 	51	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
R3HDM2	ENST00000347140.3	R3H domain containing 2 	5	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
SPRY4	ENST00000344120.4	sprouty homolog 4 (Drosophila) 	110	2	0	1	1	0	rno-miR-338-5p	-0.09	-0.11	N/A
HNRNPH2	ENST00000316594.5	heterogeneous nuclear ribonucleoprotein H2 (H') 	85	1	0	0	1	1	rno-miR-338-5p	-0.09	-0.09	N/A
AC012215.1	ENST00000437887.1	Uncharacterized protein  	31	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.16	N/A
OMG	ENST00000247271.4	oligodendrocyte myelin glycoprotein 	5	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
NARS	ENST00000256854.5	asparaginyl-tRNA synthetase 	467	2	0	1	1	0	rno-miR-338-5p	-0.09	-0.13	N/A
TMEM170B	ENST00000379426.1	transmembrane protein 170B 	489	3	2	0	1	0	rno-miR-338-5p	-0.09	-0.17	N/A
SCPEP1	ENST00000262288.3	serine carboxypeptidase 1 	276	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.10	N/A
FSD1L	ENST00000374710.3	fibronectin type III and SPRY domain containing 1-like 	16	3	2	0	1	0	rno-miR-338-5p	-0.09	-0.11	N/A
NIPA1	ENST00000337435.4	non imprinted in Prader-Willi/Angelman syndrome 1 	805	1	0	1	0	1	rno-miR-338-5p	-0.09	-0.09	N/A
SP3	ENST00000310015.6	Sp3 transcription factor 	285	3	0	1	2	1	rno-miR-338-5p	-0.09	-0.10	N/A
CHP1	ENST00000334660.5	calcineurin-like EF-hand protein 1 	2051	1	0	0	1	2	rno-miR-338-5p	-0.09	-0.09	N/A
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
EPGN	ENST00000413830.1	epithelial mitogen 	26	1	1	0	0	1	rno-miR-338-5p	-0.09	-0.21	N/A
STOX2	ENST00000308497.4	storkhead box 2 	379	5	1	2	2	2	rno-miR-338-5p	-0.09	-0.09	N/A
KCTD15	ENST00000284006.6	potassium channel tetramerization domain containing 15 	2483	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.10	N/A
TTC14	ENST00000412756.2	tetratricopeptide repeat domain 14 	99	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
IFNGR2	ENST00000290219.6	interferon gamma receptor 2 (interferon gamma transducer 1) 	3409	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
ARF1	ENST00000540651.1	ADP-ribosylation factor 1 	235	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
CCDC89	ENST00000316398.3	coiled-coil domain containing 89 	11	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.12	N/A
PTCH1	ENST00000430669.2	patched 1 	123	1	1	0	0	2	rno-miR-338-5p	-0.09	-0.09	N/A
TLK1	ENST00000431350.2	tousled-like kinase 1 	200	2	1	0	1	1	rno-miR-338-5p	-0.09	-0.12	N/A
RAPGEF6	ENST00000509018.1	Rap guanine nucleotide exchange factor (GEF) 6 	38	1	0	0	1	1	rno-miR-338-5p	-0.09	-0.09	N/A
KCNN2	ENST00000512097.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2 	5	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
PUM1	ENST00000424085.2	pumilio RNA-binding family member 1 	202	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
TRPM6	ENST00000360774.1	transient receptor potential cation channel, subfamily M, member 6 	21	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
SPIN4	ENST00000374884.2	spindlin family, member 4 	202	1	0	0	1	2	rno-miR-338-5p	-0.09	-0.09	N/A
RP1-170O19.20	ENST00000470747.4	Uncharacterized protein  	151	1	0	0	1	1	rno-miR-338-5p	-0.09	-0.09	N/A
CBX3	ENST00000337620.4	chromobox homolog 3 	889	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
TIMM21	ENST00000169551.6	translocase of inner mitochondrial membrane 21 homolog (yeast) 	306	1	1	0	0	0	rno-miR-338-5p	-0.09	-0.40	N/A
LMO4	ENST00000370544.5	LIM domain only 4 	294	1	0	0	1	1	rno-miR-338-5p	-0.09	-0.10	N/A
TSPAN18	ENST00000340160.3	tetraspanin 18 	332	1	0	1	0	0	rno-miR-338-5p	-0.09	-0.09	N/A
NUDT17	ENST00000334513.5	nudix (nucleoside diphosphate linked moiety X)-type motif 17 	131	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
TMPRSS11B	ENST00000332644.5	transmembrane protease, serine 11B 	5	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
MYH2	ENST00000532183.2	myosin, heavy chain 2, skeletal muscle, adult 	5	1	0	0	1	0	rno-miR-338-5p	-0.09	-0.09	N/A
SLK	ENST00000335753.4	STE20-like kinase 	260	3	0	2	1	1	rno-miR-338-5p	-0.08	-0.09	N/A
KLK7	ENST00000391807.1	kallikrein-related peptidase 7 	5	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
ZNF585A	ENST00000356958.4	zinc finger protein 585A 	77	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
CLN5	ENST00000377453.3	ceroid-lipofuscinosis, neuronal 5 	184	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
SYCP1	ENST00000369522.3	synaptonemal complex protein 1 	5	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
PTGS1	ENST00000362012.2	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase) 	399	1	0	1	0	1	rno-miR-338-5p	-0.08	-0.08	N/A
OR11A1	ENST00000377148.1	olfactory receptor, family 11, subfamily A, member 1 	5	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
C2orf49	ENST00000258457.2	chromosome 2 open reading frame 49 	161	4	0	3	1	1	rno-miR-338-5p	-0.08	-0.15	N/A
PSIP1	ENST00000380738.4	PC4 and SFRS1 interacting protein 1 	377	1	1	0	0	0	rno-miR-338-5p	-0.08	-0.10	N/A
MLF1	ENST00000355893.5	myeloid leukemia factor 1 	458	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.10	N/A
TAB3	ENST00000378933.1	TGF-beta activated kinase 1/MAP3K7 binding protein 3 	201	2	0	0	2	0	rno-miR-338-5p	-0.08	-0.09	N/A
LHX9	ENST00000367390.3	LIM homeobox 9 	40	2	0	0	2	2	rno-miR-338-5p	-0.08	-0.08	N/A
SMIM13	ENST00000416247.2	small integral membrane protein 13 	199	1	0	1	0	2	rno-miR-338-5p	-0.08	-0.11	N/A
MFAP3	ENST00000436816.1	microfibrillar-associated protein 3 	1139	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
RNF125	ENST00000217740.3	ring finger protein 125, E3 ubiquitin protein ligase 	214	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
RAB9A	ENST00000464506.1	RAB9A, member RAS oncogene family 	742	1	0	1	0	1	rno-miR-338-5p	-0.08	-0.18	N/A
HMX3	ENST00000357878.5	H6 family homeobox 3 	9	2	1	1	0	0	rno-miR-338-5p	-0.08	-0.20	N/A
LYRM5	ENST00000556402.1	LYR motif containing 5 	40	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
CLEC5A	ENST00000546910.1	C-type lectin domain family 5, member A 	5	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
PDIK1L	ENST00000374271.4	PDLIM1 interacting kinase 1 like 	5	3	0	0	3	2	rno-miR-338-5p	-0.08	-0.08	N/A
HPRT1	ENST00000298556.7	hypoxanthine phosphoribosyltransferase 1 	490	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.14	N/A
NLGN2	ENST00000302926.2	neuroligin 2 	20	1	1	0	0	0	rno-miR-338-5p	-0.08	-0.16	N/A
ODF2L	ENST00000359242.3	outer dense fiber of sperm tails 2-like 	164	1	1	0	0	1	rno-miR-338-5p	-0.08	-0.15	N/A
GLS	ENST00000338435.4	glutaminase 	1927	2	0	1	1	3	rno-miR-338-5p	-0.08	-0.12	N/A
OLR1	ENST00000543993.1	oxidized low density lipoprotein (lectin-like) receptor 1 	15	2	0	2	0	0	rno-miR-338-5p	-0.08	-0.12	N/A
RBM27	ENST00000265271.5	RNA binding motif protein 27 	130	2	0	2	0	0	rno-miR-338-5p	-0.08	-0.10	N/A
PREX2	ENST00000288368.4	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 	11	4	1	1	2	2	rno-miR-338-5p	-0.08	-0.08	N/A
KCNMB2	ENST00000432997.1	potassium large conductance calcium-activated channel, subfamily M, beta member 2 	5	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
IFT81	ENST00000242591.5	intraflagellar transport 81 homolog (Chlamydomonas) 	29	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
GLRX	ENST00000379979.4	glutaredoxin (thioltransferase) 	79	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
MYBL1	ENST00000522677.3	v-myb avian myeloblastosis viral oncogene homolog-like 1 	53	2	0	0	2	0	rno-miR-338-5p	-0.08	-0.08	N/A
PSMC3IP	ENST00000393795.3	PSMC3 interacting protein 	42	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.09	N/A
ADAMTS16	ENST00000274181.7	ADAM metallopeptidase with thrombospondin type 1 motif, 16 	12	1	1	0	0	0	rno-miR-338-5p	-0.08	-0.20	N/A
DEK	ENST00000397239.3	DEK oncogene 	561	1	0	0	1	2	rno-miR-338-5p	-0.08	-0.08	N/A
CTC-432M15.3	ENST00000514667.1	Folliculin-interacting protein 1  	38	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.09	N/A
VWA5B2	ENST00000426955.2	von Willebrand factor A domain containing 5B2 	14	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
XKR4	ENST00000327381.6	XK, Kell blood group complex subunit-related family, member 4 	5	4	2	0	2	4	rno-miR-338-5p	-0.08	-0.08	N/A
NKD1	ENST00000268459.3	naked cuticle homolog 1 (Drosophila) 	26	1	0	0	1	4	rno-miR-338-5p	-0.08	-0.11	N/A
PTPN12	ENST00000248594.6	protein tyrosine phosphatase, non-receptor type 12 	167	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
CSRNP3	ENST00000314499.7	cysteine-serine-rich nuclear protein 3 	24	4	2	0	2	5	rno-miR-338-5p	-0.08	-0.08	N/A
AHDC1	ENST00000247087.5	AT hook, DNA binding motif, containing 1 	174	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
DAZ1	ENST00000405239.1	deleted in azoospermia 1 	5	2	1	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
CLPX	ENST00000300107.3	caseinolytic mitochondrial matrix peptidase chaperone subunit 	251	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
BNIP3L	ENST00000380629.2	BCL2/adenovirus E1B 19kDa interacting protein 3-like 	191	2	0	0	2	0	rno-miR-338-5p	-0.08	-0.08	N/A
RHBDF2	ENST00000389760.4	rhomboid 5 homolog 2 (Drosophila) 	228	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
ARMC1	ENST00000276569.3	armadillo repeat containing 1 	93	2	2	0	0	1	rno-miR-338-5p	-0.08	-0.44	N/A
GPR173	ENST00000332582.4	G protein-coupled receptor 173 	99	2	0	1	1	0	rno-miR-338-5p	-0.08	-0.10	N/A
MAN1A2	ENST00000356554.3	mannosidase, alpha, class 1A, member 2 	603	2	1	1	0	1	rno-miR-338-5p	-0.08	-0.14	N/A
RGS7	ENST00000348120.2	regulator of G-protein signaling 7 	8	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.13	N/A
ITGAV	ENST00000261023.3	integrin, alpha V 	2407	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
DLL3	ENST00000205143.4	delta-like 3 (Drosophila) 	36	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
MARCKS	ENST00000368635.4	myristoylated alanine-rich protein kinase C substrate 	188	2	0	1	1	2	rno-miR-338-5p	-0.08	-0.10	N/A
PTTG1IP	ENST00000397887.3	pituitary tumor-transforming 1 interacting protein 	1170	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
DLX6	ENST00000518156.2	distal-less homeobox 6 	76	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.09	N/A
DNAJC28	ENST00000381947.3	DnaJ (Hsp40) homolog, subfamily C, member 28 	24	2	0	1	1	0	rno-miR-338-5p	-0.08	-0.12	N/A
GABRA4	ENST00000264318.3	gamma-aminobutyric acid (GABA) A receptor, alpha 4 	5	1	1	0	0	3	rno-miR-338-5p	-0.08	-0.08	N/A
ABCC5	ENST00000334444.6	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 	453	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
MSRB3	ENST00000308259.5	methionine sulfoxide reductase B3 	83	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
HDAC8	ENST00000439122.2	histone deacetylase 8 	24	2	0	2	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
SMG8	ENST00000300917.5	SMG8 nonsense mediated mRNA decay factor 	93	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
PCDHB4	ENST00000194152.1	protocadherin beta 4 	5	1	0	1	0	1	rno-miR-338-5p	-0.08	-0.08	N/A
HNRNPUL2	ENST00000301785.5	heterogeneous nuclear ribonucleoprotein U-like 2 	2321	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
HIVEP1	ENST00000379388.2	human immunodeficiency virus type I enhancer binding protein 1 	781	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
NAP1L5	ENST00000323061.5	nucleosome assembly protein 1-like 5 	28	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.10	N/A
ARID4B	ENST00000349213.3	AT rich interactive domain 4B (RBP1-like) 	940	1	1	0	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
OPN3	ENST00000366554.2	opsin 3 	208	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
TBC1D23	ENST00000344949.5	TBC1 domain family, member 23 	238	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
DERL2	ENST00000572834.1	derlin 2 	261	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.10	N/A
UBE2G2	ENST00000345496.2	ubiquitin-conjugating enzyme E2G 2 	681	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
MAGEE2	ENST00000373359.2	melanoma antigen family E, 2 	5	1	0	0	1	1	rno-miR-338-5p	-0.08	-0.08	N/A
NUP160	ENST00000378460.2	nucleoporin 160kDa 	997	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
CDKN2B	ENST00000380142.4	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) 	373	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
APLP2	ENST00000263574.5	amyloid beta (A4) precursor-like protein 2 	5552	1	0	0	1	0	rno-miR-338-5p	-0.08	-0.08	N/A
NSF	ENST00000398238.4	N-ethylmaleimide-sensitive factor 	86	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
TWISTNB	ENST00000222567.5	TWIST neighbor 	133	1	0	1	0	0	rno-miR-338-5p	-0.08	-0.08	N/A
TAC1	ENST00000319273.5	tachykinin, precursor 1 	22	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
VNN3	ENST00000392393.3	vanin 3 	5	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
EDN1	ENST00000379375.5	endothelin 1 	113	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
PPM1A	ENST00000395076.4	protein phosphatase, Mg2+/Mn2+ dependent, 1A 	412	1	0	0	1	2	rno-miR-338-5p	-0.07	-0.07	N/A
STEAP2	ENST00000287908.3	STEAP family member 2, metalloreductase 	266	2	0	1	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
DAXX	ENST00000266000.6	death-domain associated protein 	11	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.15	N/A
GPATCH2	ENST00000366934.3	G patch domain containing 2 	158	1	1	0	0	0	rno-miR-338-5p	-0.07	-0.08	N/A
RPL36A-HNRNPH2	ENST00000409170.3	RPL36A-HNRNPH2 readthrough 	85	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.08	N/A
G3BP2	ENST00000395719.3	GTPase activating protein (SH3 domain) binding protein 2 	4413	1	0	1	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
ZNF157	ENST00000377073.3	zinc finger protein 157 	5	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
SPHKAP	ENST00000392056.3	SPHK1 interactor, AKAP domain containing 	5	2	0	1	1	2	rno-miR-338-5p	-0.07	-0.07	N/A
C10orf118	ENST00000543782.1	chromosome 10 open reading frame 118 	146	2	0	2	0	1	rno-miR-338-5p	-0.07	-0.08	N/A
GABRG2	ENST00000356592.3	gamma-aminobutyric acid (GABA) A receptor, gamma 2 	24	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
DCUN1D1	ENST00000292782.4	DCN1, defective in cullin neddylation 1, domain containing 1 	267	2	0	1	1	2	rno-miR-338-5p	-0.07	-0.07	N/A
OR51E2	ENST00000396950.3	olfactory receptor, family 51, subfamily E, member 2 	5	1	0	1	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
NCKIPSD	ENST00000416649.2	NCK interacting protein with SH3 domain 	4158	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
ZNF365	ENST00000395254.3	zinc finger protein 365 	173	1	0	1	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
FGF9	ENST00000382353.5	fibroblast growth factor 9 	136	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
POU2F1	ENST00000367866.2	POU class 2 homeobox 1 	83	2	1	1	0	5	rno-miR-338-5p	-0.07	-0.08	N/A
SIM1	ENST00000369208.3	single-minded homolog 1 (Drosophila) 	104	2	1	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
RUNX2	ENST00000371432.3	runt-related transcription factor 2 	105	3	1	1	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
LHX5	ENST00000261731.3	LIM homeobox 5 	5	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
CD8A	ENST00000456996.2	CD8a molecule 	34	1	0	1	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
ZNF436	ENST00000314011.4	zinc finger protein 436 	73	1	1	0	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
EFNA2	ENST00000215368.2	ephrin-A2 	83	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
CSGALNACT2	ENST00000374466.3	chondroitin sulfate N-acetylgalactosaminyltransferase 2 	128	3	0	2	1	0	rno-miR-338-5p	-0.07	-0.15	N/A
SELE	ENST00000367781.4	selectin E 	5	1	1	0	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
PRR11	ENST00000262293.4	proline rich 11 	56	4	1	1	2	0	rno-miR-338-5p	-0.07	-0.33	N/A
FBXO34	ENST00000313833.4	F-box protein 34 	80	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.08	N/A
NIPA2	ENST00000337451.3	non imprinted in Prader-Willi/Angelman syndrome 2 	1288	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.12	N/A
SLC12A4	ENST00000422611.2	solute carrier family 12 (potassium/chloride transporter), member 4 	1618	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
SLITRK1	ENST00000377084.2	SLIT and NTRK-like family, member 1 	5	2	0	1	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
CCDC73	ENST00000531481.1	coiled-coil domain containing 73 	5	2	0	2	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
IPO7	ENST00000379719.3	importin 7 	1331	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
PIH1D3	ENST00000372453.3	PIH1 domain containing 3 	5	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
SUV420H1	ENST00000304363.4	suppressor of variegation 4-20 homolog 1 (Drosophila) 	62	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
HELLS	ENST00000394036.1	helicase, lymphoid-specific 	329	3	1	1	1	2	rno-miR-338-5p	-0.07	-0.35	N/A
COBLL1	ENST00000375458.2	cordon-bleu WH2 repeat protein-like 1 	70	1	1	0	0	0	rno-miR-338-5p	-0.07	-0.08	N/A
CNR1	ENST00000369501.2	cannabinoid receptor 1 (brain) 	40	2	1	0	1	2	rno-miR-338-5p	-0.07	-0.08	N/A
CECR2	ENST00000400573.5	cat eye syndrome chromosome region, candidate 2 	46	2	1	0	1	2	rno-miR-338-5p	-0.07	-0.14	N/A
GUF1	ENST00000281543.5	GUF1 GTPase homolog (S. cerevisiae) 	110	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.10	N/A
PVRL3	ENST00000485303.1	poliovirus receptor-related 3 	361	1	1	0	0	1	rno-miR-338-5p	-0.07	-0.11	N/A
ARGLU1	ENST00000400198.3	arginine and glutamate rich 1 	9450	3	0	2	1	0	rno-miR-338-5p	-0.07	-0.13	N/A
SLU7	ENST00000297151.4	SLU7 splicing factor homolog (S. cerevisiae) 	320	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.15	N/A
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	4	1	2	1	1	rno-miR-338-5p	-0.07	-0.08	N/A
AR	ENST00000374690.3	androgen receptor 	57	3	2	0	1	2	rno-miR-338-5p	-0.07	-0.07	N/A
SRCIN1	ENST00000264659.7	SRC kinase signaling inhibitor 1 	5	3	1	2	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
EHF	ENST00000257831.3	ets homologous factor 	5	1	0	1	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
TLCD2	ENST00000330676.6	TLC domain containing 2 	107	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
C2orf73	ENST00000398634.2	chromosome 2 open reading frame 73 	5	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
NHLRC3	ENST00000470258.1	NHL repeat containing 3 	49	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.10	N/A
ZNF606	ENST00000341164.4	zinc finger protein 606 	14	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
KMT2C	ENST00000262189.6	lysine (K)-specific methyltransferase 2C 	417	4	0	3	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
PAK2	ENST00000327134.3	p21 protein (Cdc42/Rac)-activated kinase 2 	145	3	1	2	0	1	rno-miR-338-5p	-0.07	-0.07	N/A
NDNF	ENST00000379692.4	neuron-derived neurotrophic factor 	51	3	0	2	1	0	rno-miR-338-5p	-0.07	-0.09	N/A
MCUR1	ENST00000379170.4	mitochondrial calcium uniporter regulator 1 	129	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
CXCL12	ENST00000343575.6	chemokine (C-X-C motif) ligand 12 	719	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
RIMS2	ENST00000507740.1	regulating synaptic membrane exocytosis 2 	8	1	0	0	1	1	rno-miR-338-5p	-0.07	-0.07	N/A
ZNF512	ENST00000355467.4	zinc finger protein 512 	189	2	0	2	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
NASP	ENST00000350030.3	nuclear autoantigenic sperm protein (histone-binding) 	8	2	0	2	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
ARHGAP5	ENST00000345122.3	Rho GTPase activating protein 5 	757	6	2	3	1	1	rno-miR-338-5p	-0.07	-0.16	N/A
PALM2	ENST00000448454.2	paralemmin 2 	35	4	0	4	0	4	rno-miR-338-5p	-0.07	-0.08	N/A
ZNF449	ENST00000339249.4	zinc finger protein 449 	345	2	0	2	0	0	rno-miR-338-5p	-0.07	-0.09	N/A
VPS36	ENST00000378060.4	vacuolar protein sorting 36 homolog (S. cerevisiae) 	57	2	1	0	1	0	rno-miR-338-5p	-0.07	-0.12	N/A
NEK10	ENST00000295720.6	NIMA-related kinase 10 	66	1	0	0	1	0	rno-miR-338-5p	-0.07	-0.07	N/A
MED9	ENST00000268711.3	mediator complex subunit 9 	256	1	0	1	0	0	rno-miR-338-5p	-0.07	-0.07	N/A
