Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Coa5	ENSMUST00000027286.6	cytochrome C oxidase assembly factor 5 	506	4	1	2	1	0	mmu-miR-338-5p	-0.11	-0.49	N/A
Tlcd2	ENSMUST00000108435.1	TLC domain containing 2 	925	1	0	0	1	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Tlk1	ENSMUST00000038584.8	tousled-like kinase 1 	207	2	1	0	1	1	mmu-miR-338-5p	-0.11	-0.19	N/A
Sav1	ENSMUST00000021467.7	salvador homolog 1 (Drosophila) 	3985	1	0	0	1	0	mmu-miR-338-5p	-0.11	-0.12	N/A
Tmem57	ENSMUST00000030628.9	transmembrane protein 57 	402	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Gm13084	ENSMUST00000075045.3	predicted gene 13084 	5	1	0	0	1	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Klri2	ENSMUST00000050385.5	killer cell lectin-like receptor family I member 2 	5	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Lmo3	ENSMUST00000162772.2	LIM domain only 3 	6	2	0	0	2	2	mmu-miR-338-5p	-0.11	-0.11	N/A
Pcdh11x	ENSMUST00000113358.4	protocadherin 11 X-linked 	6	6	0	5	1	4	mmu-miR-338-5p	-0.11	-0.11	N/A
Htr5a	ENSMUST00000036227.5	5-hydroxytryptamine (serotonin) receptor 5A 	5	2	1	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Mlx	ENSMUST00000107302.2	MAX-like protein X 	1446	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Primpol	ENSMUST00000040468.9	primase and polymerase (DNA-directed) 	20	2	0	0	2	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Kif9	ENSMUST00000061155.7	kinesin family member 9 	38	2	0	2	0	1	mmu-miR-338-5p	-0.11	-0.14	N/A
Steap4	ENSMUST00000115421.1	STEAP family member 4 	5301	1	1	0	0	1	mmu-miR-338-5p	-0.11	-0.11	N/A
Htr2a	ENSMUST00000036653.3	5-hydroxytryptamine (serotonin) receptor 2A 	5	2	0	1	1	1	mmu-miR-338-5p	-0.11	-0.11	N/A
Zcchc11	ENSMUST00000097925.3	zinc finger, CCHC domain containing 11 	708	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Lrat	ENSMUST00000029632.6	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase) 	316	3	0	1	2	1	mmu-miR-338-5p	-0.11	-0.12	N/A
Tmem65	ENSMUST00000072113.5	transmembrane protein 65 	3129	1	0	1	0	2	mmu-miR-338-5p	-0.11	-0.13	N/A
Nr5a2	ENSMUST00000027649.8	nuclear receptor subfamily 5, group A, member 2 	334	1	1	0	0	1	mmu-miR-338-5p	-0.11	-0.12	N/A
Gm10742	ENSMUST00000099198.2	predicted gene 10742 	8	4	0	3	1	0	mmu-miR-338-5p	-0.11	-0.22	N/A
Shc3	ENSMUST00000021898.5	src homology 2 domain-containing transforming protein C3 	9	1	0	0	1	3	mmu-miR-338-5p	-0.11	-0.25	N/A
Hist1h2bp	ENSMUST00000102982.1	histone cluster 1, H2bp 	13	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.18	N/A
Acsl6	ENSMUST00000093106.6	acyl-CoA synthetase long-chain family member 6 	49	2	2	0	0	0	mmu-miR-338-5p	-0.11	-0.13	N/A
Lyg2	ENSMUST00000078307.5	lysozyme G-like 2 	5	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Cfh	ENSMUST00000066859.7	complement component factor h 	204	1	0	0	1	3	mmu-miR-338-5p	-0.11	-0.15	N/A
D730048I06Rik	ENSMUST00000034619.1	RIKEN cDNA D730048I06 gene 	5	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Tmem231	ENSMUST00000034429.7	transmembrane protein 231 	117	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.16	N/A
F11r	ENSMUST00000043839.4	F11 receptor 	5127	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
3110021N24Rik	ENSMUST00000178992.1	RIKEN cDNA 3110021N24 gene 	10	2	1	1	0	1	mmu-miR-338-5p	-0.11	-1.04	N/A
Gpn1	ENSMUST00000076949.7	GPN-loop GTPase 1 	940	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.78	N/A
Sim1	ENSMUST00000020071.3	single-minded homolog 1 (Drosophila) 	52	2	2	0	0	1	mmu-miR-338-5p	-0.11	-0.11	N/A
3632451O06Rik	ENSMUST00000036972.7	RIKEN cDNA 3632451O06 gene 	108	2	0	0	2	4	mmu-miR-338-5p	-0.11	-0.12	N/A
Dsc3	ENSMUST00000115848.3	desmocollin 3 	5	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Pcdh20	ENSMUST00000061628.5	protocadherin 20 	29	2	1	1	0	1	mmu-miR-338-5p	-0.11	-0.11	N/A
Med30	ENSMUST00000037115.7	mediator complex subunit 30 	119	1	0	0	1	0	mmu-miR-338-5p	-0.11	-0.17	N/A
Snai2	ENSMUST00000023356.6	snail homolog 2 (Drosophila) 	159	1	0	1	0	1	mmu-miR-338-5p	-0.11	-0.12	N/A
Gnaq	ENSMUST00000025541.5	guanine nucleotide binding protein, alpha q polypeptide 	857	4	1	2	1	3	mmu-miR-338-5p	-0.11	-0.12	N/A
Rpf2	ENSMUST00000045114.7	ribosome production factor 2 homolog (S. cerevisiae) 	1107	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.24	N/A
Efcab2	ENSMUST00000027775.7	EF-hand calcium binding domain 2 	685	2	0	1	1	1	mmu-miR-338-5p	-0.11	-0.15	N/A
Galnt11	ENSMUST00000045737.8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 	10074	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Chrm2	ENSMUST00000172278.2	cholinergic receptor, muscarinic 2, cardiac 	123	2	1	0	1	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Ano3	ENSMUST00000099623.4	anoctamin 3 	10	2	1	0	1	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Phxr2	ENSMUST00000060761.6	per-hexamer repeat gene 2 	5	1	0	1	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
E130208F15Rik	ENSMUST00000098585.3	RIKEN cDNA E130208F15 gene 	16	1	0	1	0	1	mmu-miR-338-5p	-0.11	-0.11	N/A
Scyl1	ENSMUST00000025890.8	SCY1-like 1 (S. cerevisiae) 	189	1	0	0	1	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Max	ENSMUST00000110395.4	Max protein 	761	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.11	N/A
Mtpap	ENSMUST00000025077.6	mitochondrial poly(A) polymerase 	2974	1	1	0	0	0	mmu-miR-338-5p	-0.11	-0.15	N/A
Smad5	ENSMUST00000069557.8	SMAD family member 5 	2026	3	0	2	1	2	mmu-miR-338-5p	-0.11	-0.11	N/A
Dll3	ENSMUST00000108315.3	delta-like 3 (Drosophila) 	20	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Stx7	ENSMUST00000020174.5	syntaxin 7 	5714	1	0	0	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Usp6nl	ENSMUST00000114937.2	USP6 N-terminal like 	666	1	1	0	0	1	mmu-miR-338-5p	-0.10	-0.11	N/A
Fam122b	ENSMUST00000071023.6	family with sequence similarity 122, member B 	55	2	0	2	0	2	mmu-miR-338-5p	-0.10	-0.11	N/A
Kdelr2	ENSMUST00000110731.2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 	23290	2	0	2	0	0	mmu-miR-338-5p	-0.10	-0.14	N/A
Eef1e1	ENSMUST00000001757.7	eukaryotic translation elongation factor 1 epsilon 1 	94	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.31	N/A
Tnfaip2	ENSMUST00000102745.4	tumor necrosis factor, alpha-induced protein 2 	1763	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
4632428N05Rik	ENSMUST00000020301.8	RIKEN cDNA 4632428N05 gene 	1274	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.15	N/A
3110007F17Rik	ENSMUST00000113348.2	RIKEN cDNA 3110007F17 gene 	5	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Zfp583	ENSMUST00000062765.8	zinc finger protein 583 	18	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.13	N/A
Fem1c	ENSMUST00000036226.5	fem-1 homolog c (C.elegans) 	303	2	1	1	0	3	mmu-miR-338-5p	-0.10	-0.14	N/A
Hsdl2	ENSMUST00000030078.6	hydroxysteroid dehydrogenase like 2 	2806	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Lgals8	ENSMUST00000124888.2	lectin, galactose binding, soluble 8 	2112	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.12	N/A
Ubl3	ENSMUST00000079324.8	ubiquitin-like 3 	496	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.14	N/A
Klf7	ENSMUST00000114086.2	Kruppel-like factor 7 (ubiquitous) 	1571	1	1	0	0	0	mmu-miR-338-5p	-0.10	-0.11	N/A
Tnfrsf10b	ENSMUST00000022663.5	tumor necrosis factor receptor superfamily, member 10b 	34	2	0	1	1	1	mmu-miR-338-5p	-0.10	-0.12	N/A
Srd5a1	ENSMUST00000091514.5	steroid 5 alpha-reductase 1 	66	1	1	0	0	0	mmu-miR-338-5p	-0.10	-0.16	N/A
Neu4	ENSMUST00000050890.7	sialidase 4 	5	1	1	0	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Speer4a	ENSMUST00000079447.2	spermatogenesis associated glutamate (E)-rich protein 4a 	5	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Sucnr1	ENSMUST00000029326.5	succinate receptor 1 	848	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Sept7	ENSMUST00000115272.3	septin 7 	7116	2	0	1	1	1	mmu-miR-338-5p	-0.10	-0.15	N/A
Olfr1442	ENSMUST00000057924.2	olfactory receptor 1442 	7	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Esp18	ENSMUST00000179848.1	exocrine gland secreted peptide 18 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Nsun6	ENSMUST00000028034.9	NOL1/NOP2/Sun domain family member 6 	201	2	0	1	1	1	mmu-miR-338-5p	-0.10	-0.15	N/A
Napepld	ENSMUST00000115217.2	N-acyl phosphatidylethanolamine phospholipase D 	76	2	0	1	1	1	mmu-miR-338-5p	-0.10	-0.15	N/A
Pcdhb21	ENSMUST00000061405.4	protocadherin beta 21 	28	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.11	N/A
Aamdc	ENSMUST00000178078.2	adipogenesis associated Mth938 domain containing 	1417	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.20	N/A
4932438A13Rik	ENSMUST00000057272.9	RIKEN cDNA 4932438A13 gene 	2781	2	0	1	1	0	mmu-miR-338-5p	-0.10	-0.22	N/A
Arid4b	ENSMUST00000039538.9	AT rich interactive domain 4B (RBP1-like) 	2226	1	1	0	0	0	mmu-miR-338-5p	-0.10	-0.11	N/A
Gpnmb	ENSMUST00000031840.7	glycoprotein (transmembrane) nmb 	127	1	0	0	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Slc25a54	ENSMUST00000029478.3	solute carrier family 25, member 54 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Arhgap23	ENSMUST00000121799.2	Rho GTPase activating protein 23 	516	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Rnase6	ENSMUST00000095923.3	ribonuclease, RNase A family, 6 	41	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Eomes	ENSMUST00000035020.9	eomesodermin homolog (Xenopus laevis) 	55	1	1	0	0	0	mmu-miR-338-5p	-0.10	-0.11	N/A
Tsga10	ENSMUST00000088072.4	testis specific 10 	13	3	1	0	2	2	mmu-miR-338-5p	-0.10	-0.17	N/A
Dmrtc1b	ENSMUST00000101324.3	DMRT-like family C1b 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Cd200	ENSMUST00000163230.2	CD200 antigen 	661	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Boc	ENSMUST00000114634.1	biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein 	285	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Ugt3a2	ENSMUST00000072403.6	UDP glycosyltransferases 3 family, polypeptide A2 	1735	2	0	2	0	3	mmu-miR-338-5p	-0.10	-0.13	N/A
Zcchc18	ENSMUST00000033804.4	zinc finger, CCHC domain containing 18 	27	2	0	2	0	0	mmu-miR-338-5p	-0.10	-0.16	N/A
Runx1	ENSMUST00000023673.8	runt related transcription factor 1 	377	3	1	2	0	0	mmu-miR-338-5p	-0.10	-0.14	N/A
Hnrnpll	ENSMUST00000184635.2	heterogeneous nuclear ribonucleoprotein L-like 	1553	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.15	N/A
A630033H20Rik	ENSMUST00000167673.1	RIKEN cDNA A630033H20 gene 	17	2	0	2	0	4	mmu-miR-338-5p	-0.10	-0.17	N/A
Vstm2a	ENSMUST00000109645.3	V-set and transmembrane domain containing 2A 	60	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.12	N/A
Stbd1	ENSMUST00000050952.3	starch binding domain 1 	1509	2	0	1	1	0	mmu-miR-338-5p	-0.10	-0.12	N/A
Ddx10	ENSMUST00000065630.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 	63	3	0	0	3	4	mmu-miR-338-5p	-0.10	-0.13	N/A
Kcnn2	ENSMUST00000066890.8	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2 	18	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Dct	ENSMUST00000022725.2	dopachrome tautomerase 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Nox1	ENSMUST00000033610.7	NADPH oxidase 1 	5	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Gosr1	ENSMUST00000010536.8	golgi SNAP receptor complex member 1 	332	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.27	N/A
Nnat	ENSMUST00000173041.2	neuronatin 	3599	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Mapk1	ENSMUST00000069107.8	mitogen-activated protein kinase 1 	3469	2	0	2	0	0	mmu-miR-338-5p	-0.10	-0.18	N/A
Lat2	ENSMUST00000036362.7	linker for activation of T cells family, member 2 	107	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Rragb	ENSMUST00000039720.5	Ras-related GTP binding B 	103	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Tmem35	ENSMUST00000037687.7	transmembrane protein 35 	95	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Mecr	ENSMUST00000030742.5	mitochondrial trans-2-enoyl-CoA reductase 	1515	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Ncr1	ENSMUST00000006792.4	natural cytotoxicity triggering receptor 1 	22	3	0	2	1	1	mmu-miR-338-5p	-0.10	-0.13	N/A
Cct3	ENSMUST00000001452.8	chaperonin containing Tcp1, subunit 3 (gamma) 	17609	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Ndnf	ENSMUST00000054351.4	neuron-derived neurotrophic factor 	1221	5	0	4	1	0	mmu-miR-338-5p	-0.10	-0.12	N/A
Msx2	ENSMUST00000021922.9	msh homeobox 2 	7	2	0	2	0	0	mmu-miR-338-5p	-0.10	-0.14	N/A
Rln1	ENSMUST00000044143.5	relaxin 1 	26	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.13	N/A
Tmem56	ENSMUST00000128909.2	transmembrane protein 56 	253	4	1	2	1	0	mmu-miR-338-5p	-0.10	-0.17	N/A
Arl14ep	ENSMUST00000028536.7	ADP-ribosylation factor-like 14 effector protein 	849	1	0	0	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Gm6793	ENSMUST00000071732.5	predicted gene 6793 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Adrb3	ENSMUST00000081438.4	adrenergic receptor, beta 3 	166	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Cdkl4	ENSMUST00000086545.4	cyclin-dependent kinase-like 4 	28	2	0	2	0	2	mmu-miR-338-5p	-0.10	-0.10	N/A
Tnfsf15	ENSMUST00000062246.6	tumor necrosis factor (ligand) superfamily, member 15 	39	1	1	0	0	2	mmu-miR-338-5p	-0.10	-0.11	N/A
Cdca5	ENSMUST00000025704.2	cell division cycle associated 5 	587	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Rab9	ENSMUST00000112091.3	RAB9, member RAS oncogene family 	650	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.13	N/A
Gulp1	ENSMUST00000162600.1	GULP, engulfment adaptor PTB domain containing 1 	163	1	0	0	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Gm9956	ENSMUST00000067972.4	predicted gene 9956 	5	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Brd1	ENSMUST00000109381.2	bromodomain containing 1 	491	2	0	1	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Tm2d1	ENSMUST00000102793.5	TM2 domain containing 1 	236	1	0	0	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
H2-Ob	ENSMUST00000095342.4	histocompatibility 2, O region beta locus 	103	2	0	1	1	2	mmu-miR-338-5p	-0.10	-0.10	N/A
Trim37	ENSMUST00000041282.7	tripartite motif-containing 37 	395	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.32	N/A
Pdcl2	ENSMUST00000122213.2	phosducin-like 2 	17	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.18	N/A
5330417H12Rik	ENSMUST00000060348.2	RIKEN cDNA 5330417H12 gene 	5	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Klhl4	ENSMUST00000113371.2	kelch-like 4 	111	2	0	1	1	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Lrrc4	ENSMUST00000062304.6	leucine rich repeat containing 4 	15	1	0	1	0	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Pih1d3	ENSMUST00000027230.2	PIH1 domain containing 3 	5	1	0	1	0	1	mmu-miR-338-5p	-0.10	-0.10	N/A
Klhl15	ENSMUST00000113915.1	kelch-like 15 	59	2	1	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Clec1a	ENSMUST00000037481.7	C-type lectin domain family 1, member a 	197	3	1	1	1	2	mmu-miR-338-5p	-0.10	-0.24	N/A
Ubqln1	ENSMUST00000058735.6	ubiquilin 1 	203	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Pou3f4	ENSMUST00000078229.4	POU domain, class 3, transcription factor 4 	5	1	0	1	0	2	mmu-miR-338-5p	-0.10	-0.14	N/A
Dppa1	ENSMUST00000077173.7	developmental pluripotency associated 1 	5	1	0	0	1	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Mybl1	ENSMUST00000088658.5	myeloblastosis oncogene-like 1 	372	2	0	0	2	0	mmu-miR-338-5p	-0.10	-0.10	N/A
Itga2	ENSMUST00000056117.8	integrin alpha 2 	101	2	1	0	1	1	mmu-miR-338-5p	-0.09	-0.10	N/A
Usp25	ENSMUST00000023580.6	ubiquitin specific peptidase 25 	1925	1	1	0	0	1	mmu-miR-338-5p	-0.09	-0.12	N/A
Ugt2b5	ENSMUST00000067790.6	UDP glucuronosyltransferase 2 family, polypeptide B5 	6470	1	1	0	0	0	mmu-miR-338-5p	-0.09	-0.39	N/A
Pdik1l	ENSMUST00000105877.3	PDLIM1 interacting kinase 1 like 	117	3	0	0	3	2	mmu-miR-338-5p	-0.09	-0.15	N/A
Zbtb9	ENSMUST00000120016.1	zinc finger and BTB domain containing 9 	573	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Oog2	ENSMUST00000080405.1	oogenesin 2 	5	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Strn	ENSMUST00000145910.3	striatin, calmodulin binding protein 	522	1	1	0	0	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Lfng	ENSMUST00000031555.1	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase 	2087	2	0	1	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Nipa2	ENSMUST00000119041.2	non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human) 	2294	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.10	N/A
Ythdf3	ENSMUST00000108345.3	YTH domain family 3 	4194	3	2	0	1	0	mmu-miR-338-5p	-0.09	-0.13	N/A
Fgl2	ENSMUST00000035799.5	fibrinogen-like protein 2 	88	1	1	0	0	1	mmu-miR-338-5p	-0.09	-0.21	N/A
Kifap3	ENSMUST00000077642.6	kinesin-associated protein 3 	379	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.39	N/A
Mycs	ENSMUST00000058404.4	myc-like oncogene, s-myc protein 	5	1	0	0	1	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Commd8	ENSMUST00000013693.6	COMM domain containing 8 	3329	2	0	2	0	2	mmu-miR-338-5p	-0.09	-0.14	N/A
Rpgr	ENSMUST00000115533.2	retinitis pigmentosa GTPase regulator 	378	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Ncoa7	ENSMUST00000092610.5	nuclear receptor coactivator 7 	571	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Arglu1	ENSMUST00000048545.8	arginine and glutamate rich 1 	1240	3	0	2	1	0	mmu-miR-338-5p	-0.09	-0.13	N/A
B3gnt1	ENSMUST00000053705.6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1 	1998	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Dlg1	ENSMUST00000100001.4	discs, large homolog 1 (Drosophila) 	2065	1	0	0	1	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Smim13	ENSMUST00000165561.2	small integral membrane protein 13 	113	2	0	1	1	1	mmu-miR-338-5p	-0.09	-0.15	N/A
Gm14569	ENSMUST00000169499.1	predicted gene 14569 	17	1	1	0	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Rasgrf1	ENSMUST00000034912.5	RAS protein-specific guanine nucleotide-releasing factor 1 	40	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Rab30	ENSMUST00000032879.8	RAB30, member RAS oncogene family 	202	5	1	1	3	4	mmu-miR-338-5p	-0.09	-0.21	N/A
Tmprss9	ENSMUST00000105333.2	transmembrane protease, serine 9 	16	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.14	N/A
Epb4.1l2	ENSMUST00000053748.9	erythrocyte protein band 4.1-like 2 	2840	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Fut9	ENSMUST00000084770.4	fucosyltransferase 9 	324	6	0	2	4	0	mmu-miR-338-5p	-0.09	-0.18	N/A
Zfp706	ENSMUST00000078976.7	zinc finger protein 706 	6663	2	0	1	1	0	mmu-miR-338-5p	-0.09	-0.12	N/A
Clec4a3	ENSMUST00000117173.2	C-type lectin domain family 4, member a3 	33	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.28	N/A
Gaa	ENSMUST00000106259.3	glucosidase, alpha, acid 	900	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Olfr1033	ENSMUST00000111589.1	olfactory receptor 1033 	52	2	0	2	0	2	mmu-miR-338-5p	-0.09	-0.16	N/A
Nap1l5	ENSMUST00000059539.3	nucleosome assembly protein 1-like 5 	6	1	0	1	0	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Pkib	ENSMUST00000075992.6	protein kinase inhibitor beta, cAMP dependent, testis specific 	68	2	1	1	0	1	mmu-miR-338-5p	-0.09	-0.80	N/A
Wipf1	ENSMUST00000094681.5	WAS/WASL interacting protein family, member 1 	361	1	1	0	0	0	mmu-miR-338-5p	-0.09	-0.12	N/A
Mmadhc	ENSMUST00000102769.5	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria 	270	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.11	N/A
Sgsm3	ENSMUST00000139517.2	small G protein signaling modulator 3 	231	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Lmbrd1	ENSMUST00000095062.4	LMBR1 domain containing 1 	2113	3	0	1	2	1	mmu-miR-338-5p	-0.09	-0.11	N/A
Slc38a11	ENSMUST00000112420.2	solute carrier family 38, member 11 	19	1	0	1	0	2	mmu-miR-338-5p	-0.09	-0.16	N/A
Nat1	ENSMUST00000026677.3	N-acetyl transferase 1 	56	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.23	N/A
Cadm2	ENSMUST00000114292.2	cell adhesion molecule 2 	17	2	1	0	1	1	mmu-miR-338-5p	-0.09	-0.12	N/A
Synj2bp	ENSMUST00000163402.2	synaptojanin 2 binding protein 	608	2	0	0	2	4	mmu-miR-338-5p	-0.09	-0.26	N/A
Cryzl1	ENSMUST00000073466.7	crystallin, zeta (quinone reductase)-like 1 	762	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.11	N/A
Lrit2	ENSMUST00000057176.3	leucine-rich repeat, immunoglobulin-like and transmembrane domains 2 	5	2	0	0	2	1	mmu-miR-338-5p	-0.09	-0.09	N/A
9930111J21Rik1	ENSMUST00000093153.1	RIKEN cDNA 9930111J21 gene 1 	5	2	0	1	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Sgk1	ENSMUST00000020145.6	serum/glucocorticoid regulated kinase 1 	5205	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Kpnb1	ENSMUST00000001479.4	karyopherin (importin) beta 1 	5727	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.20	N/A
Fam168b	ENSMUST00000167518.2	family with sequence similarity 168, member B 	808	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.12	N/A
Thrsp	ENSMUST00000043077.7	thyroid hormone responsive 	636	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.10	N/A
Zfp235	ENSMUST00000056549.7	zinc finger protein 235 	126	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
AW549877	ENSMUST00000046633.8	expressed sequence AW549877 	790	4	1	1	2	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Atp2a2	ENSMUST00000177974.2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 	25988	1	0	0	1	1	mmu-miR-338-5p	-0.09	-0.09	N/A
Dynlt3	ENSMUST00000033519.2	dynein light chain Tctex-type 3 	167	1	1	0	0	1	mmu-miR-338-5p	-0.09	-0.25	N/A
Gpr85	ENSMUST00000060442.8	G protein-coupled receptor 85 	46	1	0	0	1	0	mmu-miR-338-5p	-0.09	-0.09	N/A
Snap47	ENSMUST00000010038.4	synaptosomal-associated protein, 47 	3028	1	0	1	0	1	mmu-miR-338-5p	-0.09	-0.09	N/A
